,,,,,سازمان ,,,,,,,,,,,,,,,,,,,,
,,,,,دفتر فناوری اطلاعات و ارتباطات,,,,,,,,,,,,,,,,,,,,
station_i,lat,lon,hight,data,,n,dd,ff,t,td,p0,p,a,ppp,rrr,ww,w1,w2,tmin,tmax,nh,cl,cm,ch,rrr24
40754,35.7,51.3,1191.,2010-01-01 00:00,,8,70,4,6.0,4.0,875.8,1009.4,7,-0.5,10.0,63,6,6,null,null,6,3,2,null,null
40754,35.7,51.3,1191.,2010-01-01 03:00,,8,290,3,5.8,3.6,875.7,1009.7,5,-0.1,null,10,6,6,5.4,null,5,3,2,null,null
40754,35.7,51.3,1191.,2010-01-01 06:00,,8,270,4,6.2,4.5,876.6,1011.0,2,0.9,2.0,60,6,2,null,null,4,3,2,null,16.4
40754,35.7,51.3,1191.,2010-01-01 09:00,,7,270,3,8.0,3.9,875.3,1009.2,7,-1.3,null,5,6,2,null,null,3,3,7,0,null
40754,35.7,51.3,1191.,2010-01-01 12:00,,7,260,6,10.0,3.1,874.6,1008.2,6,-0.7,0.2,5,2,2,null,null,3,3,3,0,null
40754,35.7,51.3,1191.,2010-01-01 15:00,,5,280,3,9.0,2.1,875.9,1010.0,2,1.3,null,nul,null,null,null,11.0,3,3,7,0,null
40754,35.7,51.3,1191.,2010-01-01 18:00,,3,240,4,7.0,1.7,877.0,1011.7,2,1.1,0.0,nul,null,null,null,null,3,3,0,9,null
40754,35.7,51.3,1191.,2010-01-01 21:00,,2,0,0,6.2,1.3,877.0,1011.5,0,0.0,null,nul,null,null,null,null,2,4,0,0,null
40754,35.7,51.3,1191.,2010-01-02 00:00,,0,0,0,5.0,0.4,877.2,1011.5,1,0.2,0.0,5,0,0,null,null,nul,null,null,null,null
40754,35.7,51.3,1191.,2010-01-02 03:00,,3,30,2,4.4,0.3,877.1,1011.8,5,-0.1,null,5,0,0,3.0,null,0,0,0,1,null
40754,35.7,51.3,1191.,2010-01-02 06:00,,5,0,0,7.8,-0.3,877.9,1012.4,1,0.8,0.0,5,1,0,null,null,0,0,0,6,0.2
40754,35.7,51.3,1191.,2010-01-02 09:00,,5,0,0,11.0,-0.6,877.5,1011.4,8,-0.4,null,5,1,1,null,null,0,0,0,6,null
40754,35.7,51.3,1191.,2010-01-02 12:00,,4,210,2,14.4,-2.1,876.7,1009.9,6,-0.8,0.0,nul,null,null,null,null,0,0,0,6,null
40754,35.7,51.3,1191.,2010-01-02 15:00,,5,310,4,11.2,-0.6,877.3,1011.5,1,0.6,null,nul,null,null,null,14.6,0,0,0,6,null
40754,35.7,51.3,1191.,2010-01-02 18:00,,4,300,2,9.4,0.1,878.6,1012.6,2,1.3,0.0,nul,null,null,null,null,0,0,0,6,null
40754,35.7,51.3,1191.,2010-01-02 21:00,,4,120,2,9.4,1.0,878.8,1012.0,1,0.2,null,nul,null,null,null,null,0,0,0,6,null
40754,35.7,51.3,1191.,2010-01-03 00:00,,4,0,0,6.6,1.5,879.1,1012.2,3,0.3,0.0,nul,null,null,null,null,0,0,0,1,null
40754,35.7,51.3,1191.,2010-01-03 03:00,,3,90,2,7.2,1.4,879.5,1013.3,3,0.4,null,nul,null,null,5.8,null,0,0,0,1,null
40754,35.7,51.3,1191.,2010-01-03 06:00,,6,120,3,9.0,1.5,881.3,1015.4,2,1.8,0.0,5,2,1,null,null,0,0,0,5,0.0
,,,,,سازمان ,,,,,,,,,,,,,,,,,,,,
,,,,,دفتر فناوری اطلاعات و ارتباطات,,,,,,,,,,,,,,,,,,,,
station_i,lat,lon,hight,data,,n,dd,ff,t,td,p0,p,a,ppp,rrr,ww,w1,w2,tmin,tmax,nh,cl,cm,ch,rrr24
40754,35.7,51.3,1191.,2010-01-03 09:00,,6,160,2,12.8,0.8,880.0,1013.0,8,-1.3,null,5,2,2,null,null,0,0,0,5,null
40754,35.7,51.3,1191.,2010-01-03 12:00,,6,160,3,15.2,0.6,878.6,1011.4,7,-1.4,0.0,5,2,2,null,null,0,0,0,5,null
40754,35.7,51.3,1191.,2010-01-03 15:00,,5,0,0,11.4,1.7,879.7,1013.5,2,1.1,null,5,2,2,null,17.4,0,0,0,6,null
40754,35.7,51.3,1191.,2010-01-03 18:00,,4,0,0,10.4,1.7,881.0,1014.8,2,1.3,0.0,5,1,1,null,null,0,0,0,2,null
40754,35.7,51.3,1191.,2010-01-03 21:00,,3,0,0,9.0,0.4,880.7,1013.9,8,-0.3,null,5,1,1,null,null,0,0,0,2,null
40754,35.7,51.3,1191.,2010-01-04 00:00,,3,30,2,9.4,-2.8,880.5,1013.0,8,-0.2,0.0,nul,null,null,null,null,0,0,0,2,null
40754,35.7,51.3,1191.,2010-01-04 03:00,,5,0,0,10.8,-5.3,881.0,1014.3,3,0.5,null,nul,null,null,8.6,null,0,0,0,6,null
40754,35.7,51.3,1191.,2010-01-04 06:00,,3,240,3,13.6,-4.8,882.0,1014.9,2,1.0,0.0,nul,null,null,null,null,1,0,3,4,0.0
40754,35.7,51.3,1191.,2010-01-04 09:00,,4,260,4,15.4,-8.3,880.7,1013.4,7,-1.3,null,nul,null,null,null,null,1,4,4,4,null
40754,35.7,51.3,1191.,2010-01-04 12:00,,4,220,5,16.2,-8.3,879.9,1012.2,5,-0.8,0.0,nul,null,null,null,null,1,1,0,4,null
40754,35.7,51.3,1191.,2010-01-04 15:00,,5,0,0,12.8,-4.3,880.3,1013.1,3,0.4,null,nul,null,null,null,17.0,0,0,0,5,null
40754,35.7,51.3,1191.,2010-01-04 18:00,,5,0,0,9.8,-3.2,881.1,1014.0,1,0.8,0.0,nul,null,null,null,null,0,0,0,5,null
40754,35.7,51.3,1191.,2010-01-04 21:00,,4,0,0,9.2,-3.1,881.1,1013.7,4,0.0,null,nul,null,null,null,null,0,0,0,5,null
40754,35.7,51.3,1191.,2010-01-05 00:00,,2,0,0,10.2,-5.2,881.3,1013.6,3,0.2,0.0,nul,null,null,null,null,0,0,0,2,null
40754,35.7,51.3,1191.,2010-01-05 03:00,,4,330,3,10.4,-6.5,881.8,1014.9,3,0.5,null,nul,null,null,9.0,null,0,0,0,5,null
40754,35.7,51.3,1191.,2010-01-05 06:00,,7,0,0,11.4,-6.8,883.0,1016.8,2,1.2,0.0,nul,null,null,null,null,1,0,3,5,0.0
40754,35.7,51.3,1191.,2010-01-05 09:00,,6,250,11,15.6,-7.8,881.4,1014.1,7,-1.6,null,nul,null,null,null,null,1,0,3,5,null
